Document;xPath;Element;Name;Cardinality;
ubl:DespatchAdvice;/cbc:CustomizationID;cbc:CustomizationID;Specification identification;1..1;
ubl:DespatchAdvice;/cbc:ProfileID;cbc:ProfileID;Business process type identifier;1..1;
ubl:DespatchAdvice;/cbc:ID;cbc:ID;Document identifier;1..1;
ubl:DespatchAdvice;/cbc:IssueDate;cbc:IssueDate;Dispatch advice issue date;1..1;
ubl:DespatchAdvice;/cbc:IssueTime;cbc:IssueTime;Dispatch advice issue time;0..1;
ubl:DespatchAdvice;/cbc:Note;cbc:Note;Dispatch note;0..1;
ubl:DespatchAdvice;/cac:OrderReference;cac:OrderReference;Order reference information;0..n;
ubl:DespatchAdvice;/cac:OrderReference/cbc:ID;cbc:ID;Order reference;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty;cac:DespatchSupplierParty;Despatching party information;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party;cac:Party;Party information;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cbc:EndpointID;cbc:EndpointID;Despatch party electronic address;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cbc:EndpointID@schemeID;schemeID;Scheme identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PartyIdentification;cac:PartyIdentification;Party identification;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID;cbc:ID;Despatching party identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID@schemeID;schemeID;Scheme identifier;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress;cac:PostalAddress;Postal address;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName;cbc:StreetName;Address line 1;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName;cbc:AdditionalStreetName;Address line 2;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName;cbc:CityName;City;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone;cbc:PostalZone;Post code;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity;cbc:CountrySubentity;Country subdivision;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine;cac:AddressLine;Address Line;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line;cbc:Line;Address line 3;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cac:Country;cac:Country;Country;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode;cbc:IdentificationCode;Country code;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PartyLegalEntity;cac:PartyLegalEntity;Party Name;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName;cbc:RegistrationName;Dispatching party name;1..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:Contact;cac:Contact;Contact information;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:Contact/cbc:Name;cbc:Name;Contact person name;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:Contact/cbc:Telephone;cbc:Telephone;Contact telephone number;0..1;
ubl:DespatchAdvice;/cac:DespatchSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail;cbc:ElectronicMail;Contact email address;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty;cac:DeliveryCustomerParty;Consignee information;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party;cac:Party;Party information;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cbc:EndpointID;cbc:EndpointID;Consignee party electronic address;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cbc:EndpointID@schemeID;schemeID;Scheme identifier;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PartyIdentification;cac:PartyIdentification;Party identification;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID;cbc:ID;Consignee party identifier;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID@schemeID;schemeID;Scheme identifier;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress;cac:PostalAddress;Postal address;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName;cbc:StreetName;Address line 1;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName;cbc:AdditionalStreetName;Address line 2;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName;cbc:CityName;City;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone;cbc:PostalZone;Post code;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity;cbc:CountrySubentity;Country subdivision;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine;cac:AddressLine;Address Line;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line;cbc:Line;Address line 3;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cac:Country;cac:Country;Country;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode;cbc:IdentificationCode;Country code;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PartyLegalEntity;cac:PartyLegalEntity;Buyer legal party;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName;cbc:RegistrationName;Consignee party name;1..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:DeliveryContact;cac:DeliveryContact;Contact information;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:DeliveryContact/cbc:Name;cbc:Name;Contact person name;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:DeliveryContact/cbc:Telephone;cbc:Telephone;Contact telephone number;0..1;
ubl:DespatchAdvice;/cac:DeliveryCustomerParty/cac:DeliveryContact/cbc:ElectronicMail;cbc:ElectronicMail;Contact email address;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty;cac:BuyerCustomerParty;Buyer;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party;cac:Party;Party information;1..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PartyIdentification;cac:PartyIdentification;Party identification;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID;cbc:ID;Buying party identifier;1..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID@schemeID;schemeID;Scheme identifier;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PartyName;cac:PartyName;Party name;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PartyName/cbc:Name;cbc:Name;Buying party name;1..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress;cac:PostalAddress;Postal address;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName;cbc:StreetName;Address line 1;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName;cbc:AdditionalStreetName;Address line 2;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName;cbc:CityName;City;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone;cbc:PostalZone;Post code;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity;cbc:CountrySubentity;Country subdivision;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine;cac:AddressLine;Address Line;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line;cbc:Line;Address line 3;0..1;
ubl:DespatchAdvice;/cac:BuyerCustomerParty/cac:Party/cac:PostalAddress/cac:Country;cac:Country;Country;1..1;
